chara,conv,img
,2-1 start,
シゲノブ,きつねの村の近くにはジャンプ台があるらしい。\n,
チマキ,ジャンプ台に乗ると目の前の1マスをとびこえていけるよ。\n,
,2-1 play,
シゲノブ,きつねの村に着いたけど、やっぱりみんなにげてるんだね。\n,
チマキ,ここにはぼくの仲間がいるからさがしに行こう！\n,
,次のステージへ,
,2-1 終わり,
,2-2 start,
,2-2play,
シゲノブ,あ、きつねがいる。\n,
きつね,おれが見えるのか！？\n,
チマキ,それぼくのときにもやったよー。\nわせ忍のシゲノブといっしょに妖怪たちを助けるよ。\n,
きつね,なんだ、チマキもいたのかよ。\nおれの名前は イナリ 。よろしくな！\n,
,きつねが光りだした…！\n,
イナリ,よっしゃ！じゃあこの村であばれてる\nいったんもめん と からかさお化け をぶっとばしに行くぜ！\n,
シゲノブ,助けるんだよね！？\n,
チマキ,だいじょうぶ、イナリは口は悪いけどやさしいやつだから。\n,
イナリ,…う、うるせぇ、行くぞ！\n,
,次のステージへ,
,2-2 終わり,
,2-3 start,
シゲノブ,チマキたちはわせ忍のこと知ってそうだけど、\nわせ忍ってなんなの？\n,
チマキ,1500年前に、ぼくらといっしょにヤマタノオロチをたおした伝説の忍者がいたんだよ。\n,
イナリ,それから何度かヤマタノオロチはふっかつしてるんだが、\nそのたびにすげぇ力を持った忍者がやつをたおすんだ。\n,
イナリ,その忍者を 「わせ忍」 とよぶんだぜ。\n,
チマキ,そして今回のわせ忍が君だったんだよ！\n,
,2-3 play,
イナリ,いたぜ、いったんもめん と からかさお化けだ。\n,
チマキ,やっぱり苦しそう、早く助けてあげよう。\n,
,ポコスカ　ポコスカ　ピカー\n,
イナリ,おい、おまえら！ヤマタノオロチのせいであばれちまったんだろうけどよ、\nこれからもおれの子どもたちをよろしくな。\n,
,きつねの村　クリア！\n,
シゲノブ,つぎはアザラシの湖に行こう。\n,
イナリ,げっ、あそこは寒いからきらいだぜ…。\n,
,2-3 終わり,
