chara,conv,img
,5-1 start,
家田,あやかし山には今まででたジャンプ台、氷のゆか、動くゆかの全部があるんだね。\n,
ツクネ,むずかしいかもしれませんが、わたしたちのヒントを見てがんばりましょう。\n,
,5-1 play,
イナリ,おいおい、あばれたおにの相手なんてマジかよ。\n,
スリミ,なにゆうてんの、はよ助けんで。\n,
,ポコスカ　ポコスカ　ピカー\n,
チマキ,まだまだ居そうだね、気合いれていこー、おー！\n,
,次のステージへ,
,5-1 終わり,
,5-2 start,
,5-2 play,
ツクネ,だいぶのぼってきましたね。\n,
スリミ,たたかった妖怪の数、もうおぼえてへんよ。\n,
イナリ,もうすぐでラスボスだ。\nおい、チマキ。ビビってんなよ？\n,
チマキ,ぜんぜん！！みんなといっしょだからね、もちろん家田も。\n,
家田,次がラスト。行こう、みんな！,
,次のステージへ,
家田,ついに見つけた、ヤマタノオロチ！\n,
ヤマタノオロチ,ぐるぉぉぉぉぉぉぉおお！！！\n,
チマキ,おりゃーー！！\n,
,ポコスカ　ポコスカ　ポコスカ\n,
スリミ,あかん、ぜんぜんきいてない！\n,
イナリ,おい、にげられるぜ！\n,
ツクネ,追いましょう！\n,
,5-2 終わり,
,5-3 start,
,5-3 play,
ヤマタノオロチ,ぐぎゃぉぉぉぉす！\n,
チマキ,ぼくらの力を一つに！家田！！\n,
イナリ,家田！\n,
スリミ,家田さん！\n,
ツクネ,家田どの！\n,
家田,いっけぇぇ！！\n,
ヤマタノオロチ,ぐるぅぁぁぁぁ！！\n,
,・・・,
,一人の忍者と4ひきの動物たちが\nふっかつした大邪竜ヤマタノオロチをたおし、,
,平和な世界をとりもどした。,
,その忍者の名は、\n,
,わせ忍　　家田\n,
,完\n,
,5-3 終わり,
